id_empleat;nom;ciutat;departament;nivell_estudis;edat;anys_experiencia;salari_brut_anual;vendes_mensuals;satisfaccio_laboral;hores_teletreball_setmana;data_contractacio;te_carnet_conduir
28;Albert Font;Lleida;Atenció al Client;Màster;60;6,1;41832,57;2;6,5;1;2024-06-27;Sí
29;Jordi Bosch;Sabadell;Vendes;Batxillerat;49;9,3;23709,51;16;4,1;2;2021-03-09;No
30;Cristina Puig;Girona;Atenció al Client;Grau;29;4,4;49045,42;4;6,9;2;2016-06-06;Sí
31;Clara Prat;Terrassa;Màrqueting;Grau;24;2,0;31732,43;4;9,2;2;2021-12-17;Sí
32;Meritxell Mas;Tarragona;Màrqueting;Doctorat;37;0,4;45516,32;2;8,5;2;2023-12-30;Sí
33;Albert Vidal;Badalona;Vendes;Doctorat;28;1,6;48397,12;29;5,4;5;2023-12-02;Sí
34;Núria Puig;Badalona;Tecnologia;Màster;34;11,2;59502,24;5;6,6;4;2024-06-17;No
35;Marc Serra;Tarragona;Finances;Màster;38;0,7;45298,84;2;6,1;3;2016-04-18;No
36;Bernat Ferrer;Sabadell;Vendes;Doctorat;34;0,0;52320,71;34;7,8;4;2023-04-07;Sí
37;Judit Costa;Terrassa;Finances;Màster;26;3,3;28888,63;4;5,2;2;2018-08-29;No
38;Adrià Font;Tarragona;Màrqueting;Doctorat;57;19,9;32649,23;5;9,3;3;2021-05-20;No
39;Xavier Soler;Sabadell;Tecnologia;Grau;22;0,4;47095,29;3;6,1;4;2017-05-25;No
40;Carla Mas;Girona;Tecnologia;Màster;32;1,0;58437,97;2;4,6;0;2016-08-26;Sí
41;Laia Roca;Vic;Vendes;Doctorat;52;12,4;41671,55;12;8,0;2;2020-07-17;No
42;Núria Vidal;Girona;Recursos Humans;Grau;22;0,2;53486,78;4;6,3;3;2017-10-17;Sí
43;Ferran Vidal;Reus;Finances;Màster;51;28,5;59906,14;5;9,2;2;2024-04-25;No
44;Bernat Vidal;Manresa;Tecnologia;Grau;52;25,2;34940,27;3;7,4;1;2019-12-07;Sí
45;Núria Font;Terrassa;Finances;Batxillerat;43;3,0;32484,18;5;4,5;2;2019-07-28;No
46;Cristina Riera;Barcelona;Màrqueting;Doctorat;48;10,5;46712,65;5;3,1;5;2021-06-16;No
47;Montse Puig;Sabadell;Recursos Humans;Doctorat;44;12,4;45446,83;4;9,3;2;2017-06-17;No
48;Elena Riera;Badalona;Tecnologia;Doctorat;23;1,4;60780,11;4;6,7;2;2021-08-21;Sí
49;Elena Vidal;Tarragona;Vendes;Màster;51;11,4;26619,77;20;5,4;2;2018-02-13;No
50;Albert Sala;Manresa;Vendes;Batxillerat;27;6,0;31598,57;4;8,5;4;2015-06-14;Sí
51;Núria Roca;Vic;Màrqueting;Grau;23;0,3;43100,52;4;9,6;2;2022-11-05;No
52;Pol Prat;Vic;Finances;Batxillerat;32;8,6;27689,05;4;3,2;1;2021-06-16;No
53;David Serra;Lleida;Vendes;Màster;59;25,5;40614,82;7;8,6;3;2023-10-11;Sí
54;Judit Soler;Terrassa;Vendes;Màster;49;0,4;34122,11;31;3,7;1;2022-02-16;No
55;Adrià Vidal;Tarragona;Atenció al Client;Màster;49;17,2;52106,24;3;6,3;5;2023-03-14;No
56;Oriol Sala;Girona;Tecnologia;Doctorat;37;3,9;41877,35;3;5,4;2;2024-07-17;No
